 age(yr) M*(M_sun) L*(L_sun) T(K) R*(R_sun)
96 5.2370719746e+06 2.3399906259e+00 3.7857122435e+01 1.1652674888e+04 1.5097314166e+00
97 5.1137959720e+06 2.3599905542e+00 3.9106526831e+01 1.1724275616e+04 1.5157575384e+00
98 5.0079573144e+06 2.3799904687e+00 4.0391647257e+01 1.1796066487e+04 1.5217682235e+00
99 4.8819746159e+06 2.3999904071e+00 4.1703131256e+01 1.1866733136e+04 1.5279147833e+00
100 4.8305389727e+06 2.4199902694e+00 4.3031737591e+01 1.1936299768e+04 1.5340240181e+00
101 4.7146917552e+06 2.4399902040e+00 4.4407565791e+01 1.2006518723e+04 1.5401798285e+00
102 4.6085344869e+06 2.4599901319e+00 4.5814058715e+01 1.2076454326e+04 1.5463138646e+00
103 4.5892349688e+06 2.4799899611e+00 4.7223227466e+01 1.2144275370e+04 1.5524290914e+00
104 4.4733168239e+06 2.4999899057e+00 4.8685941773e+01 1.2212984621e+04 1.5586023238e+00
105 4.3038644370e+06 2.5199899217e+00 5.0213695289e+01 1.2283369560e+04 1.5647797130e+00
106 4.2072666140e+06 2.5399898537e+00 5.1749535870e+01 1.2351981648e+04 1.5709309865e+00
107 4.1850822565e+06 2.5599896914e+00 5.3263708876e+01 1.2417246936e+04 1.5770382195e+00
108 4.1704803103e+06 2.5799895178e+00 5.4840856867e+01 1.2483336000e+04 1.5833172667e+00
109 4.0442084858e+06 2.5999894970e+00 5.6461856708e+01 1.2550285004e+04 1.5894524983e+00
110 3.9082112700e+06 2.6199894963e+00 5.8144461177e+01 1.2618512007e+04 1.5955669676e+00
111 3.8223681537e+06 2.6399894299e+00 5.9854423816e+01 1.2685355227e+04 1.6018432406e+00
112 3.7874348000e+06 2.6599892912e+00 6.1532956091e+01 1.2749088467e+04 1.6079508604e+00
113 3.7190300515e+06 2.6799892041e+00 6.3281493268e+01 1.2814226672e+04 1.6141010036e+00
114 3.6850995887e+06 2.6999890655e+00 6.5054352896e+01 1.2878296194e+04 1.6203114984e+00
115 3.6439150263e+06 2.7199889386e+00 6.6872196193e+01 1.2942638969e+04 1.6265007643e+00
116 3.5091159795e+06 2.7399889656e+00 6.8761590548e+01 1.3008558432e+04 1.6326450091e+00
